2022-11-08 14:20:46,661 - INFO      - normalize.py : 30 line - add(add(pressure_inv_p, add(add(pressure_inv_p, en_sqrt_p), en_sqrt_p)), add(atomic_number_inv_p, add(add(pressure_inv_p, en_sqrt_p), en_sqrt_p))): (mu, sigma) = (6.4931172401719355, 1.5816532832150387)
2022-11-08 14:20:46,661 - INFO      - normalize.py : 30 line - add(add(pressure_inv_p, en_sqrt_p), add(atomic_number_inv_p, add(add(pressure_inv_p, en_sqrt_p), add(atomic_number_inv_p, add(add(pressure_inv_p, en_sqrt_p), en_sqrt_p))))): (mu, sigma) = (6.544145559921701, 1.6073743378267786)
2022-11-08 14:20:46,661 - INFO      - normalize.py : 30 line - add(add(add(pressure_inv_p, en_sqrt_p), add(atomic_number_inv_p, add(add(pressure_inv_p, en_sqrt_p), en_sqrt_p))), add(atomic_number_inv_p, add(add(pressure_inv_p, en_sqrt_p), en_sqrt_p))): (mu, sigma) = (7.964907390225252, 1.7530432406924923)
2022-11-08 14:20:46,661 - INFO      - normalize.py : 30 line - add(add(pressure_inv_p, en_sqrt_p), add(atomic_number_inv_p, add(atomic_number_inv_p, add(add(pressure_inv_p, en_sqrt_p), en_sqrt_p)))): (mu, sigma) = (4.870369863215495, 1.1405892962780122)
2022-11-08 14:20:46,662 - INFO      - normalize.py : 30 line - add(add(pressure_inv_p, en_sqrt_p), add(atomic_number_inv_p, add(add(pressure_inv_p, en_sqrt_p), add(add(pressure_inv_p, en_sqrt_p), add(atomic_number_inv_p, add(add(pressure_inv_p, en_sqrt_p), en_sqrt_p)))))): (mu, sigma) = (8.217921256627907, 2.0806970099519875)
2022-11-08 14:20:46,662 - INFO      - normalize.py : 30 line - add(add(pressure_inv_p, en_sqrt_p), add(add(pressure_inv_p, en_sqrt_p), en_sqrt_p)): (mu, sigma) = (4.768313223715969, 1.088328578030293)
2022-11-08 14:20:46,662 - INFO      - normalize.py : 30 line - add(add(pressure_inv_p, en_sqrt_p), add(add(add(pressure_inv_p, en_sqrt_p), en_sqrt_p), add(add(pressure_inv_p, en_sqrt_p), en_sqrt_p))): (mu, sigma) = (7.86285075072573, 1.7066021387681751)
2022-11-08 14:20:46,662 - INFO      - normalize.py : 30 line - add(add(pressure_inv_p, en_sqrt_p), add(add(pressure_inv_p, en_sqrt_p), add(atomic_number_inv_p, add(add(pressure_inv_p, add(add(pressure_inv_p, en_sqrt_p), add(atomic_number_inv_p, add(add(pressure_inv_p, en_sqrt_p), en_sqrt_p)))), en_sqrt_p)))): (mu, sigma) = (9.891696953334117, 2.5569292713607013)
2022-11-08 14:20:46,662 - INFO      - normalize.py : 30 line - add(add(pressure_inv_p, en_sqrt_p), add(add(atomic_number_inv_p, add(add(pressure_inv_p, en_sqrt_p), en_sqrt_p)), add(add(pressure_inv_p, en_sqrt_p), en_sqrt_p))): (mu, sigma) = (7.913879070475492, 1.72640044132206)
2022-11-08 14:20:48,868 - INFO      - normalize.py : 30 line - pressure: (mu, sigma) = (189.85507246376812, 195.74823192140704)
