,minerals,0,100
67,Cu6Hg3As4S12,2.4989126425426003,-1.914936822386835
68,MnS,1.696382980554984,-2.7848129223476086
69,As8S9,2.891953790535618,-1.1229011527348007
70,PbSiO3,3.6598958544216664,-0.004624542115089269
71,Al(AsO4),3.9115750774309626,0.4820322725196385
72,Fe(SO3)(H2O)3,4.180447056606271,1.1034212208580103
73,Na(AlSi3O8),3.618343618800046,-0.22039101352123353
74,MgCa4F2U2O4.0(CO3)6.0(H2O)17.5,4.161499755929189,1.1043380616536045
75,Ag8GeTe2S4,2.0115788561093138,-3.0997130000929243
76,Fe0.5(H2O)4CaAs2(Fe2.5W0.5)(AsO4)2O7,4.011858039974313,0.7142979787251034
77,K3TiFe(SO4)4O(H2O)2,3.9136851565231825,0.6146323939459428
