,pressure,atom_s,atom_p,atom_d,atom_f,ionization_energy,mass,en,row,pseudo_row,group,atomic_number,PNAS_en,element
239,500,2,0,0,4,5.525,144.24200000000002,1.14,6,8,6,60,-6.21,Nd
240,0,2,0,0,5,5.582000000000001,145.0,1.13,6,8,7,61,0.3,Pm
241,50,2,0,0,5,5.582000000000001,145.0,1.13,6,8,7,61,-5.3,Pm
242,200,2,0,0,5,5.582000000000001,145.0,1.13,6,8,7,61,-5.98,Pm
243,500,2,0,0,5,5.582000000000001,145.0,1.13,6,8,7,61,-6.2,Pm
244,0,2,0,0,6,5.6437,150.36,1.17,6,8,8,62,0.34,Sm
245,50,2,0,0,6,5.6437,150.36,1.17,6,8,8,62,-4.91,Sm
246,200,2,0,0,6,5.6437,150.36,1.17,6,8,8,62,-6.01,Sm
247,500,2,0,0,6,5.6437,150.36,1.17,6,8,8,62,-6.2,Sm
248,0,2,0,0,7,5.6704,151.964,1.2,6,8,9,63,0.34,Eu
249,50,2,0,0,7,5.6704,151.964,1.2,6,8,9,63,-4.98,Eu
250,200,2,0,0,7,5.6704,151.964,1.2,6,8,9,63,-6.07,Eu
251,500,2,0,0,7,5.6704,151.964,1.2,6,8,9,63,-6.23,Eu
252,0,2,0,1,7,6.1498,157.25,1.2,6,8,10,64,0.32,Gd
253,50,2,0,1,7,6.1498,157.25,1.2,6,8,10,64,-5.44,Gd
254,200,2,0,1,7,6.1498,157.25,1.2,6,8,10,64,-6.17,Gd
255,500,2,0,1,7,6.1498,157.25,1.2,6,8,10,64,-6.38,Gd
256,0,2,0,0,9,5.8638,158.92535,1.1,6,8,11,65,0.27,Tb
257,50,2,0,0,9,5.8638,158.92535,1.1,6,8,11,65,-5.13,Tb
258,200,2,0,0,9,5.8638,158.92535,1.1,6,8,11,65,-6.23,Tb
259,500,2,0,0,9,5.8638,158.92535,1.1,6,8,11,65,-6.41,Tb
260,0,2,0,0,10,5.9389,162.5,1.22,6,8,12,66,0.27,Dy
261,50,2,0,0,10,5.9389,162.5,1.22,6,8,12,66,-5.54,Dy
262,200,2,0,0,10,5.9389,162.5,1.22,6,8,12,66,-6.28,Dy
263,500,2,0,0,10,5.9389,162.5,1.22,6,8,12,66,-6.45,Dy
264,0,2,0,0,11,6.0215,164.93032,1.23,6,8,13,67,0.15,Ho
265,50,2,0,0,11,6.0215,164.93032,1.23,6,8,13,67,-5.59,Ho
266,200,2,0,0,11,6.0215,164.93032,1.23,6,8,13,67,-6.32,Ho
267,500,2,0,0,11,6.0215,164.93032,1.23,6,8,13,67,-6.47,Ho
268,0,2,0,0,12,6.1077,167.25900000000001,1.24,6,8,14,68,0.08,Er
269,50,2,0,0,12,6.1077,167.25900000000001,1.24,6,8,14,68,-5.65,Er
270,200,2,0,0,12,6.1077,167.25900000000001,1.24,6,8,14,68,-6.37,Er
