,minerals,,
176,CeSr(CO3)2(OH)(H2O),,
177,LaSr(CO3)2(OH)(H2O),,
178,Al2SiO5,,
179,Na2Ca(UO2)(CO3)3(H2O)5.5,,
180,AgPbSb3S6,,
181,AgPbSb3S6,,
182,Ca3Fe2(SiO4)3,,
183,CuHgAg7Pb7Sb24S48,,
184,BaFe2(Si2O7),,
185,FeCrP,,
186,Na12(K0.33Sr0.33Ce0.33)3Ca6Mn3Zr3Nb(Si25O73)(O0.33(H2O)0.33(OH)0.33)5,,
187,RuAs2,,
188,PbCuTeO5(H2O),,
189,Fe2TeO6,,
190,KCdCu5(AsO4)4As(OH)2O2(H2O)2,,
191,NaFe5(PO4)4(OH)4(H2O)4,,
192,CaMgAl2(PO4)2(OH)4(H2O)7,,
193,Cu2AgPbBiS4,,
194,Fe4O3(AsO4)2,,
195,Pb(SO4),,
196,Ca(SO4),,
197,KMg(SO4)Cl,,
198,Cu7S4,,
199,Ca(Fe0.5Mg0.5)(CO3)2,,
200,NiAl4(VO3)2(OH)12(H2O)2,,
201,Ni3(AsO4)2(H2O)8,,
202,KFe3(AlSi3O10)(OH)2,,
203,As2S3,,
204,Ca(Al2Si2O8),,
205,VO(SO4)(H2O)5,,
206,MnV2O6(H2O)4,,
207,CaCl2(H2O)6,,
208,AlWO3(OH)3,,
209,Cu(OH)Cl(H2O)3,,
210,Mg2Mg5Si8O22(OH)2,,
211,Mg3Si2O5(OH)4,,
212,Sb2Se3,,
213,Sb,,
214,KNa3Cu2(C2O4)4,,
215,Cu3(SO4)(OH)4,,
216,Na2Ca(SO4)2(H2O)1.5,,
217,AuPb2,,
218,Ce4FeTi6O18(OH)2,,
219,Cu9Si10O29(H2O)11,,
220,NaMg(PO4)(H2O)9,,
221,K3Na(SO4)2,,
222,MnAl2(SO4)4(H2O)22,,
223,Co(SO4)(H2O)4,,
224,(FeFe2)(Fe2Sb4)O12S,,
225,(H3O)8(Na0.33K0.33Sr0.33)5Ca6Zr3Si26O66(OH)9Cl,,
226,BaCa6(SiO4)(VO4)(VO4)2F,,
227,Ca(CO3),,
228,ZnMn12Fe2(AsO3)(AsO4)2(OH)23,,
229,Ag3Sb2(Bi0.5Sb0.5)S6,,
230,Al2(SO4)(PO4)F(H2O)9,,
231,(K0.5)(Ca0.5Na0.5)2USi8O20,,
232,Pb3AlF9(H2O),,
233,Ba2Ca18(SiO4)6(PO4)3(CO3)F3O,,
234,K2(SO4),,
235,H2K(PO4),,
236,(Na5Ca)Ca6Ba(PO4)6F3,,
237,Ag6CuBiS4,,
238,Pb17Sb15S35Cl9,,
239,Ca2(PO3(OH))(SO4)(H2O)4,,
240,Mn4Al4(AlMg)(AsO4)(SiO4)2(Si3O10)(OH)6,,
241,Mn4Al4(AlMg)(VO4)(SiO4)2(Si3O10)(OH)6,,
242,NaNa2(Fe4Fe)Si8O22(OH)2,,
243,Mn7(VO4)2(OH)8,,
244,Ag1.5Pb22As33.5S72,,
245,Ag3Pb26As35S80,,
246,AgFe3(SO4)2(OH)6,,
247,Ag3.5Pb33As51.5S112,,
248,Ag16As2S11,,
249,Ag(Fe0.5Ni0.5)8S8,,
250,Ag16Sb2S11,,
251,AgFe2S3,,
252,Ag6(Cu4Zn2)As4S13,,
253,Ag6(Cu4Fe2)Sb4S13,,
254,Ag6(Cu4Hg2)Sb4S13,,
255,Ag6(Cu4Zn2)Sb4S13,,
256,(NH4)7Bi3Cl16,,
257,GeO2,,
258,Ag8GeS6,,
259,Cu2Mg(AsO4)(OH)3,,
260,BaCa12(SiO4)4(PO4)2F2O,,
261,NaCe2(CO3)2F(CO3)0.5F,,
262,NaLa2(CO3)2F(CO3)0.5F,,
263,Na2MgB12.0O16.0(OH)8.0(H2O)4,,
264,(Mg0.5Fe0.5)Ti2O5,,
265,Mn26As6(OH)4O14As12.0O36.0(CO3),,
266,Na6K5MnMn14(Si9O22)4(OH)10(H2O)4,,
267,Ca4Ce(AsO4)4(H2O),,
268,BaCa2(Al6Si9)O30(H2O)2,,
269,CaZr(Si6O15)(H2O)2,,
270,CaMg(Ce7Y3)Ca5(SiO4)3(Si3B3O18)(AsO4)(BO3)F11,,
271,BaNa3(NaCa)Fe13Al(PO4)11(PO3(OH))(OH)2,,
272,(KNa)Fe(CaNa2)Fe13Al(PO4)11(PO3(OH))(OH)2,,
273,KNa3(CaNa2)Fe13Al(PO4)11(PO3(OH))(OH)2,,
274,PbFe(CaNa2)Fe13Al(PO4)11(PO3(OH))(OH)2,,
275,SrFe(CaNa2)Fe13Al(PO4)11(PO3(OH))(OH)2,,
276,NaTi(AsO4)O,,
277,Pb2(Fe0.5Zn0.5)(AsO4)2((OH)0.5(H2O)0.5),,
278,PbZn(AsO4)(OH),,
279,As,,
280,NaCaMnMn2(AsO4)3,,
281,Ca2Fe3O2(AsO4)3(H2O)3,,
282,Pb12(As3.2Sb2.8)S21,,
283,Mn6AsSi5O18(OH),,
284,Mn5(AsO4)2(OH)4,,
285,CaAl3(AsO4)(AsO3(OH))(OH)6,,
286,CeAl3(AsO4)2(OH)6,,
287,LaAl3(AsO4)2(OH)6,,
288,BaAl3(AsO4)(AsO3(OH))(OH)6,,
289,SrAl3(AsO4)(AsO3(OH))(OH)6,,
290,Ni18Bi3AsS16,,
291,Zn3(AsO4)2(H2O)4,,
292,As,,
293,As2O3,,
294,Pd8As3,,
295,FeAsS,,
296,Ni18Sb3AsS16,,
297,U(UO2)3(AsO4)2(OH)6(H2O)4,,
298,Cu2Zn(AsO4)(OH)3(H2O)2,,
299,Mg2(AsO4)F,,
300,Ag17.6Pb12.8Sb38.1As11.5S96,,
301,Pb2Cu(AsO4)(SO4)(OH),,
302,NaMg4(AsO4)3,,
303,Al(UO2)2(AsO4)2F(H2O)20,,
304,Ca(UO2)4(AsO4)2(OH)4(H2O)6,,
305,AgHg2TlAs2S6,,
306,Na18Cu12FeO8(AsO4)8Cl5,,
307,CuFe2(AsO4)2(OH)2(H2O)4,,
308,Mg2(CO3)(OH)2(H2O)3,,
309,PbAlF3(OH)2,,
310,Hg4Al(PO4)1.74(OH)1.78,,
311,Ni3(PO4)2(H2O)8,,
312,Cu4Pb2(SO4)(OH)4Cl6(H2O)2,,
313,Ca3TiAs6Be2Si2O20,,
314,Mn(O0.5(OH)0.5)2(Co0.25Ni0.25Mg0.25Ca0.25)(OH)2(H2O),,
315,Pb3Bi3S9,,
316,HCu4Pb4Si4O12(H(CO3))4(OH)4Cl,,
317,K5Na5Y12Si28O70(OH)2(CO3)8(H2O)8,,
318,Zn(OH)2,,
319,Fe2(SiO4),,
320,Pb7SiO8Cl2,,
321,MnNdAl2Fe(Si2O7)(SiO4)O2,,
322,(Fe0.5Fe0.5)3Nb4Th(Nb0.5Fe0.5)12O42(H2O)6.0((OH)12)0.5,,
323,NaMg3(Si3Al)O10(OH)2,,
324,Pb(UO2)4(BiO)3(AsO4)2(OH)7(H2O)4,,
325,Cu2Ce2(UO2)(CO3)5(OH)2(H2O)1.5,,
326,K2NaFe7Ti2(Si4O12)2O2(OH)4F,,
327,Cu2Cl(OH)3,,
328,Bi2O(AsO4)(OH),,
329,Y4Si3O8(OH)8,,
330,Ca2Fe3Mg2Be4(PO4)6(OH)4(H2O)6,,
331,Cu5Se4,,
332,Pd2(As0.75Hg0.25),,
333,Cu6FeBiO4(SO4)5KCl,,
334,Pd3Sn,,
335,CaMnAl4(H(SiO4))(PO4)3(OH)4,,
336,Ca3Cu2Al2(AsO4)4(OH)4(H2O)2,,
337,CuAl(SO4)2Cl(H2O)14,,
338,MnTl2As2S5,,
339,Al2(PO4)(OH)3,,
340,(Ca0.33Mg0.33Fe0.33)2Si2O6,,
341,FeCu(AsO4)O,,
342,(Zn0.5Cu0.5)5(CO3)2(OH)6,,
343,Cu3Au,,
344,Au6Hg5,,
345,HgHgOI,,
346,MnMn3O7(H2O)3,,
347,AuSb2,,
348,CaZn(AsO4)(OH),,
349,Ca(UO2)2(PO4)2(H2O)11,,
350,(Na0.5Cs0.5)(Be2Li)Al2(Si6O18),,
351,K2Cu5Cl8(OH)4(H2O)2,,
352,Cu5O2(VO4)2CuCl2,,
353,Tl2O3,,
354,KBF4,,
355,Ni3Fe,,
356,Na14Cu7(AsO4)8F2Cl2,,
357,Ca4Fe2Al4B2Si8O30(OH)2,,
358,Ca4Mg2Al4B2Si8O30(OH)2,,
359,Ca4Mn2Al4B2Si8O30(OH)2,,
360,Mg2(Ti0.5Mg0.5)0.5Fe0.5O2(BO3),,
361,Cu3(CO3)2(OH)2,,
362,Cu3(AsO4)2(H2O)8,,
363,BaBe(PO4)F,,
364,Ca2FeFeSi5O14(OH),,
365,Pb2Bi2(S0.5Se0.5)3,,
366,Pb2AlTeO6Cl,,
367,Y2Mn4Al(Si2B7BeO24),,
368,NaNaMg(MgFe)(AsO4)3,,
369,ZrO2,,
370,TiP,,
371,Ba2Fe4Ti2(Si2O7)2O2(OH)2F2,,
372,Ca6Zr2(Si2O7)2O4,,
373,KMnO4,,
374,Al5Sb3O14(OH)2,,
375,(Zn0.25Fe0.25Al0.25Mg0.25)6(Si0.5Al0.5)4O10(OH)8,,
376,Na2Ba2YCe(CO3)6(H2O)3,,
377,Pb2Cu4Te2O10(OH)2(SO4)(H2O),,
378,Na2Mg5(PO4)4(H2O)7,,
379,Bi6Te2S3,,
380,Mg21Si8O27(OH)20,,
381,KLi2VSi4O12,,
382,Bi2O(SO4)2,,
383,LiBaMg2Al3(Si2O6)2(OH)8,,
384,Ag5Cu9HgS8,,
385,(Na0.5K0.5)6Ca2(Si6Al6O24)Cl2(CO3),,
386,Cu(TeO3),,
387,Cu(Se0.5Te0.5)2,,
388,FeMo2O6(OH)3(H2O),,
389,Na2BaAl4Si4O16,,
390,CuB(OH)4Cl,,
391,(Na0.5K0.5)0.7V0.5V5.3O15,,
392,(Ca0.33K0.33Na0.33)(Mn0.5Fe0.5)10(Si0.5Al0.5)16O38(OH)8(H2O),,
393,Ba4(Ti0.33Nb0.33W0.33)8O16(SiO3)4Cl,,
394,(Ca0.2Cu0.2Na0.2Fe0.2Al0.2)12Al2(AsO4)8((OH)0.5Cl0.5)(H2O),,
395,(Ca0.2Cu0.2Na0.2Fe0.2Al0.2)12Fe2(AsO4)8((OH)0.5Cl0.5)(H2O),,
396,(NH4)2SiF6,,
397,KLi3Ca7Ti2(SiO3)12F2,,
398,(NH4)BF4,,
399,FeFe2(PO4)2(OH)2,,
400,Na7Al(H(CO3))2(CO3)2F4,,
401,Al0.6(V0.5V0.5)8O20(H2O)9,,
